R=20  K=20  area_points=1600  ESS_threshold=0.75  M_prop=20
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
1000 2 A3_local 20 0 1.315387 2.144011 0.828624 0.828624 0.456139
1000 3 A3_local 20 0 0.834986 1.243853 0.408868 0.408868 0.143002
1000 4 A3_local 20 0 1.329369 1.785727 0.456358 0.456358 0.196398
1000 5 A3_local 20 0 1.173789 1.512034 0.338245 0.338245 0.132930
1000 6 A3_local 20 0 0.859933 1.367007 0.507074 0.507074 0.163075
1000 7 A3_local 20 0 1.456614 2.173597 0.716983 0.716983 0.241042
1000 8 A3_local 20 0 1.288735 2.058721 0.769986 0.769986 0.234182
1000 9 A3_local 20 0 0.803225 1.272468 0.469243 0.469243 0.097867
1000 10 A3_local 20 0 1.245149 2.002231 0.757082 0.757082 0.229921
1000 11 A3_local 20 0 0.749634 1.047951 0.298317 0.298317 0.079781
1000 12 A3_local 20 0 0.890661 1.309797 0.419136 0.419136 0.079516
1000 13 A3_local 20 0 0.846449 1.286035 0.439585 0.439585 0.114160
1000 14 A3_local 20 0 1.057220 1.848270 0.791049 0.791049 0.251647
1000 15 A3_local 20 0 1.108700 1.995508 0.886809 0.886809 0.342255
1000 16 A3_local 20 0 1.359917 2.054103 0.694186 0.694186 0.229548
1000 17 A3_local 20 0 0.749903 1.337835 0.587931 0.587931 0.198391
1000 18 A3_local 20 0 1.076956 1.721718 0.644762 0.644762 0.154618
1000 19 A3_local 20 0 0.626364 1.013787 0.387423 0.387423 0.082829
1000 20 A3_local 20 0 0.788123 1.328178 0.540055 0.540055 0.163186
1000 1 A4_full 19 1 0.984098 0.910325 -0.073773 0.073773 0.133960
1000 2 A4_full 19 1 1.335355 1.186846 -0.148509 0.148509 0.146613
1000 3 A4_full 19 1 0.805278 0.837668 0.032390 0.032390 0.111599
1000 4 A4_full 19 1 1.357837 1.320797 -0.037040 0.037040 0.126323
1000 5 A4_full 19 1 1.219957 1.103689 -0.116269 0.116269 0.127741
1000 6 A4_full 19 1 0.903829 1.062048 0.158218 0.158218 0.086530
1000 7 A4_full 19 1 1.356830 1.350960 -0.005870 0.005870 0.208453
1000 8 A4_full 19 1 1.335315 1.461570 0.126256 0.126256 0.133995
1000 9 A4_full 19 1 0.806599 0.950525 0.143926 0.143926 0.120959
1000 10 A4_full 19 1 1.278082 1.527213 0.249131 0.249131 0.094231
1000 11 A4_full 19 1 0.776883 0.890826 0.113943 0.113943 0.046428
1000 12 A4_full 19 1 0.916913 1.056024 0.139111 0.139111 0.053068
1000 13 A4_full 19 1 0.863359 1.067018 0.203659 0.203659 0.064066
1000 14 A4_full 19 1 0.930723 1.281300 0.350578 0.350578 0.113178
1000 15 A4_full 19 1 1.142649 1.848216 0.705567 0.705567 0.229603
1000 16 A4_full 19 1 1.367187 1.867364 0.500176 0.500176 0.241976
1000 17 A4_full 19 1 0.755412 1.241420 0.486008 0.486008 0.170455
1000 18 A4_full 19 1 1.115947 1.739691 0.623744 0.623744 0.244890
1000 19 A4_full 19 1 0.641336 1.008459 0.367122 0.367122 0.108339
1000 20 A4_full 19 1 0.819522 1.202484 0.382962 0.382962 0.101397
1000 1 A5_empirical_optimal 20 0 0.981617 0.924696 -0.056921 0.056921 0.124078
1000 2 A5_empirical_optimal 20 0 1.315387 1.180865 -0.134521 0.134521 0.150501
1000 3 A5_empirical_optimal 20 0 0.834986 0.808273 -0.026712 0.026712 0.127344
