R=500  K=20  area_points=1600  ESS_threshold=0.75  M_prop=20  statistic=C_post=|D(X_s_k^+)|
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
250 5 A5_empirical_optimal 492 8 15.898755 17.430561 1.531806 1.531806 0.379493
250 6 A5_empirical_optimal 492 8 17.086636 19.306025 2.219389 2.219389 0.376947
250 7 A5_empirical_optimal 492 8 18.505716 21.009934 2.504217 2.504217 0.382043
250 8 A5_empirical_optimal 492 8 19.811357 22.418783 2.607427 2.607427 0.403901
250 9 A5_empirical_optimal 492 8 20.716209 24.088948 3.372738 3.372738 0.409120
250 10 A5_empirical_optimal 492 8 21.366616 25.644735 4.278119 4.278119 0.396021
250 11 A5_empirical_optimal 492 8 22.314024 26.850398 4.536373 4.536373 0.415888
250 12 A5_empirical_optimal 492 8 23.095274 28.051836 4.956561 4.956561 0.422431
250 13 A5_empirical_optimal 492 8 24.051448 29.167162 5.115714 5.115714 0.459125
250 14 A5_empirical_optimal 492 8 24.901550 30.205268 5.303718 5.303718 0.452700
250 15 A5_empirical_optimal 492 8 25.566057 31.262579 5.696522 5.696522 0.456626
250 16 A5_empirical_optimal 492 8 26.377414 32.324590 5.947176 5.947176 0.468550
250 17 A5_empirical_optimal 492 8 26.949822 33.350742 6.400920 6.400920 0.451122
250 18 A5_empirical_optimal 492 8 27.113948 34.338377 7.224429 7.224429 0.464936
250 19 A5_empirical_optimal 492 8 27.658918 35.165745 7.506827 7.506827 0.464003
250 20 A5_empirical_optimal 492 8 28.041286 35.914856 7.873570 7.873570 0.449396
500 1 A3_local 472 28 7.424391 8.138974 0.714583 0.714583 0.325399
500 2 A3_local 472 28 10.329317 12.796504 2.467187 2.467187 0.357652
500 3 A3_local 472 28 12.235832 16.034105 3.798273 3.798273 0.422183
500 4 A3_local 472 28 14.305879 19.268271 4.962391 4.962391 0.488437
500 5 A3_local 472 28 15.925847 21.888392 5.962545 5.962545 0.510513
500 6 A3_local 472 28 17.178496 24.409720 7.231224 7.231224 0.523154
500 7 A3_local 472 28 18.476430 26.784080 8.307650 8.307650 0.535965
500 8 A3_local 472 28 19.826006 28.506673 8.680667 8.680667 0.546662
500 9 A3_local 472 28 20.699815 30.154894 9.455079 9.455079 0.555317
500 10 A3_local 472 28 21.384799 31.706285 10.321486 10.321486 0.541423
500 11 A3_local 472 28 22.307203 33.178843 10.871640 10.871640 0.549776
500 12 A3_local 472 28 23.024497 34.345622 11.321125 11.321125 0.563813
500 13 A3_local 472 28 23.951801 35.409452 11.457651 11.457651 0.574141
500 14 A3_local 472 28 24.728284 36.623289 11.895005 11.895005 0.559116
500 15 A3_local 472 28 25.436706 37.735405 12.298700 12.298700 0.564846
500 16 A3_local 472 28 26.250662 38.735969 12.485307 12.485307 0.577203
500 17 A3_local 472 28 26.798464 39.825146 13.026682 13.026682 0.592081
500 18 A3_local 472 28 26.991525 40.638119 13.646594 13.646594 0.587205
500 19 A3_local 472 28 27.641684 41.732567 14.090883 14.090883 0.592488
500 20 A3_local 472 28 27.972458 42.448134 14.475676 14.475676 0.582717
500 1 A4_full 452 48 7.473866 7.560148 0.086282 0.086282 0.270312
500 2 A4_full 452 48 10.324668 11.229990 0.905322 0.905322 0.293649
500 3 A4_full 452 48 12.160813 14.001491 1.840678 1.840678 0.333318
500 4 A4_full 452 48 14.113938 16.569118 2.455180 2.455180 0.380068
500 5 A4_full 452 48 15.747926 18.497517 2.749591 2.749591 0.405456
500 6 A4_full 452 48 17.035260 20.443165 3.407906 3.407906 0.415927
500 7 A4_full 452 48 18.314436 22.226259 3.911823 3.911823 0.410860
500 8 A4_full 452 48 19.483960 23.881060 4.397099 4.397099 0.416865
500 9 A4_full 452 48 20.370713 25.295443 4.924729 4.924729 0.414860
500 10 A4_full 452 48 21.094580 26.757703 5.663124 5.663124 0.435237
500 11 A4_full 452 48 22.050332 27.899749 5.849417 5.849417 0.449650
500 12 A4_full 452 48 22.715155 29.244760 6.529605 6.529605 0.455207
500 13 A4_full 452 48 23.651410 30.386494 6.735084 6.735084 0.461336
500 14 A4_full 452 48 24.421184 31.444029 7.022845 7.022845 0.447349
500 15 A4_full 452 48 25.058352 32.428720 7.370369 7.370369 0.442664
500 16 A4_full 452 48 25.864353 33.283326 7.418973 7.418973 0.459894
500 17 A4_full 452 48 26.471654 34.235776 7.764122 7.764122 0.464370
500 18 A4_full 452 48 26.671184 35.276336 8.605153 8.605153 0.480259
500 19 A4_full 452 48 27.292174 36.314399 9.022226 9.022226 0.473551
500 20 A4_full 452 48 27.562777 36.972966 9.410190 9.410190 0.474485
500 1 A5_empirical_optimal 498 2 7.586847 7.412350 -0.174497 0.174497 0.275723
500 2 A5_empirical_optimal 498 2 10.505522 10.623972 0.118450 0.118450 0.277228
500 3 A5_empirical_optimal 498 2 12.339106 12.927398 0.588292 0.588292 0.296441
500 4 A5_empirical_optimal 498 2 14.382656 15.187183 0.804527 0.804527 0.352952
500 5 A5_empirical_optimal 498 2 15.936621 16.936038 0.999417 0.999417 0.366858
500 6 A5_empirical_optimal 498 2 17.141692 18.638710 1.497018 1.497018 0.357168
500 7 A5_empirical_optimal 498 2 18.543926 20.348736 1.804811 1.804811 0.371054
500 8 A5_empirical_optimal 498 2 19.807605 21.688711 1.881106 1.881106 0.386746
500 9 A5_empirical_optimal 498 2 20.702686 23.138829 2.436144 2.436144 0.394895
500 10 A5_empirical_optimal 498 2 21.359814 24.321328 2.961514 2.961514 0.393193
500 11 A5_empirical_optimal 498 2 22.326682 25.307497 2.980815 2.980815 0.394015
500 12 A5_empirical_optimal 498 2 23.081827 26.422548 3.340721 3.340721 0.406189
500 13 A5_empirical_optimal 498 2 24.043926 27.409498 3.365572 3.365572 0.421577
500 14 A5_empirical_optimal 498 2 24.888429 28.523923 3.635494 3.635494 0.420148
500 15 A5_empirical_optimal 498 2 25.601908 29.703991 4.102083 4.102083 0.409130
500 16 A5_empirical_optimal 498 2 26.408886 30.843167 4.434281 4.434281 0.433793
500 17 A5_empirical_optimal 498 2 26.973143 31.699698 4.726556 4.726556 0.422781
500 18 A5_empirical_optimal 498 2 27.152861 32.413709 5.260848 5.260848 0.422193
500 19 A5_empirical_optimal 498 2 27.713479 33.189800 5.476321 5.476321 0.441618
500 20 A5_empirical_optimal 498 2 28.070532 33.861301 5.790769 5.790769 0.427208
1000 1 A3_local 489 11 7.575026 7.872576 0.297551 0.297551 0.330177
1000 2 A3_local 489 11 10.457694 11.982874 1.525180 1.525180 0.364521
1000 3 A3_local 489 11 12.277224 15.056003 2.778779 2.778779 0.397436
1000 4 A3_local 489 11 14.332822 17.848447 3.515625 3.515625 0.448024
1000 5 A3_local 489 11 15.842280 20.273194 4.430914 4.430914 0.479794
1000 6 A3_local 489 11 17.060327 22.692366 5.632038 5.632038 0.495412
1000 7 A3_local 489 11 18.466258 24.764168 6.297911 6.297911 0.496232
1000 8 A3_local 489 11 19.773006 26.520753 6.747747 6.747747 0.509823
1000 9 A3_local 489 11 20.643661 28.211953 7.568293 7.568293 0.509258
1000 10 A3_local 489 11 21.309305 29.560968 8.251663 8.251663 0.522324
1000 11 A3_local 489 11 22.263292 31.082265 8.818972 8.818972 0.519012
1000 12 A3_local 489 11 23.013931 32.393696 9.379765 9.379765 0.520876
1000 13 A3_local 489 11 23.952454 33.354927 9.402473 9.402473 0.537031
1000 14 A3_local 489 11 24.812883 34.468029 9.655146 9.655146 0.532827
1000 15 A3_local 489 11 25.507285 35.642274 10.134989 10.134989 0.536938
1000 16 A3_local 489 11 26.326559 36.525171 10.198612 10.198612 0.557486
1000 17 A3_local 489 11 26.888931 37.576113 10.687182 10.687182 0.544898
1000 18 A3_local 489 11 27.080521 38.438135 11.357613 11.357613 0.547608
1000 19 A3_local 489 11 27.655930 39.091029 11.435099 11.435099 0.560887
1000 20 A3_local 489 11 28.027096 39.974865 11.947769 11.947769 0.549323
1000 1 A4_full 489 11 7.625895 7.417262 -0.208633 0.208633 0.285313
1000 2 A4_full 489 11 10.554192 11.148680 0.594487 0.594487 0.313795
1000 3 A4_full 489 11 12.344070 13.899252 1.555182 1.555182 0.331036
1000 4 A4_full 489 11 14.315440 16.319288 2.003849 2.003849 0.391651
1000 5 A4_full 489 11 15.853272 18.030896 2.177624 2.177624 0.389713
1000 6 A4_full 489 11 17.051508 19.798189 2.746681 2.746681 0.388640
1000 7 A4_full 489 11 18.376789 21.427247 3.050457 3.050457 0.382858
1000 8 A4_full 489 11 19.699387 22.720689 3.021302 3.021302 0.397745
1000 9 A4_full 489 11 20.621421 24.127892 3.506471 3.506471 0.408083
1000 10 A4_full 489 11 21.276713 25.369493 4.092780 4.092780 0.415212
1000 11 A4_full 489 11 22.260353 26.540157 4.279804 4.279804 0.414114
1000 12 A4_full 489 11 23.017382 27.562853 4.545471 4.545471 0.397051
1000 13 A4_full 489 11 23.969197 28.322326 4.353129 4.353129 0.422626
1000 14 A4_full 489 11 24.757541 29.570495 4.812954 4.812954 0.414405
1000 15 A4_full 489 11 25.465619 30.546839 5.081220 5.081220 0.421308
1000 16 A4_full 489 11 26.278885 31.469207 5.190322 5.190322 0.426474
1000 17 A4_full 489 11 26.868098 32.449562 5.581464 5.581464 0.425236
1000 18 A4_full 489 11 27.033359 33.154028 6.120669 6.120669 0.441120
1000 19 A4_full 489 11 27.636503 33.985873 6.349370 6.349370 0.439819
1000 20 A4_full 489 11 27.975844 34.640933 6.665089 6.665089 0.447059
1000 1 A5_empirical_optimal 500 0 7.563125 7.411963 -0.151162 0.151162 0.274627
1000 2 A5_empirical_optimal 500 0 10.475375 10.663704 0.188329 0.188329 0.273581
1000 3 A5_empirical_optimal 500 0 12.311500 12.932975 0.621475 0.621475 0.300015
1000 4 A5_empirical_optimal 500 0 14.357875 15.039411 0.681536 0.681536 0.351363
1000 5 A5_empirical_optimal 500 0 15.900750 16.737613 0.836863 0.836863 0.360693
1000 6 A5_empirical_optimal 500 0 17.101750 18.264908 1.163158 1.163158 0.361873
1000 7 A5_empirical_optimal 500 0 18.496875 19.809660 1.312785 1.312785 0.368399
1000 8 A5_empirical_optimal 500 0 19.784125 21.107258 1.323133 1.323133 0.386239
1000 9 A5_empirical_optimal 500 0 20.678125 22.639562 1.961437 1.961437 0.385269
1000 10 A5_empirical_optimal 500 0 21.331000 23.743471 2.412471 2.412471 0.402811
1000 11 A5_empirical_optimal 500 0 22.292000 24.787825 2.495825 2.495825 0.405505
1000 12 A5_empirical_optimal 500 0 23.043625 25.655008 2.611383 2.611383 0.406671
1000 13 A5_empirical_optimal 500 0 24.003875 26.762268 2.758393 2.758393 0.424350
1000 14 A5_empirical_optimal 500 0 24.845750 27.748239 2.902489 2.902489 0.415778
1000 15 A5_empirical_optimal 500 0 25.560625 28.815335 3.254710 3.254710 0.408460
1000 16 A5_empirical_optimal 500 0 26.362875 29.662008 3.299133 3.299133 0.415349
1000 17 A5_empirical_optimal 500 0 26.928625 30.405624 3.476999 3.476999 0.410303
