R=500  K=20  area_points=1600  ESS_threshold=0.75
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
2000 18 A3_local 499 1 0.974436 1.418185 0.443749 0.443749 0.037708
2000 19 A3_local 499 1 0.991689 1.480450 0.488762 0.488762 0.039407
2000 20 A3_local 499 1 1.019288 1.500795 0.481507 0.481507 0.041100
2000 1 A4_full 499 1 0.952655 0.980063 0.027408 0.027408 0.031107
2000 2 A4_full 499 1 0.998950 1.025678 0.026728 0.026728 0.029559
2000 3 A4_full 499 1 0.882776 0.960181 0.077405 0.077405 0.026452
2000 4 A4_full 499 1 1.048056 1.109360 0.061304 0.061304 0.028449
2000 5 A4_full 499 1 1.082856 1.164907 0.082051 0.082051 0.033362
2000 6 A4_full 499 1 0.972441 1.102273 0.129832 0.129832 0.025902
2000 7 A4_full 499 1 1.024888 1.148965 0.124077 0.124077 0.030580
2000 8 A4_full 499 1 1.040097 1.176835 0.136738 0.136738 0.028474
2000 9 A4_full 499 1 0.918638 1.058685 0.140047 0.140047 0.022255
2000 10 A4_full 499 1 0.973273 1.107311 0.134039 0.134039 0.023034
2000 11 A4_full 499 1 1.046826 1.240272 0.193446 0.193446 0.027149
2000 12 A4_full 499 1 1.057775 1.233012 0.175237 0.175237 0.027605
2000 13 A4_full 499 1 1.013646 1.175573 0.161926 0.161926 0.025329
2000 14 A4_full 499 1 0.965923 1.171021 0.205098 0.205098 0.025174
2000 15 A4_full 499 1 1.028074 1.234022 0.205948 0.205948 0.023092
2000 16 A4_full 499 1 1.016484 1.202390 0.185906 0.185906 0.026538
2000 17 A4_full 499 1 1.053915 1.253647 0.199732 0.199732 0.023877
2000 18 A4_full 499 1 0.976537 1.154900 0.178363 0.178363 0.022688
2000 19 A4_full 499 1 0.993147 1.209174 0.216027 0.216027 0.022142
2000 20 A4_full 499 1 1.017189 1.233516 0.216327 0.216327 0.022964
4000 1 A3_local 500 0 0.952550 1.766965 0.814415 0.814415 0.083376
4000 2 A3_local 500 0 1.000657 1.565161 0.564504 0.564504 0.075798
4000 3 A3_local 500 0 0.882839 1.240807 0.357968 0.357968 0.045747
4000 4 A3_local 500 0 1.046308 1.457502 0.411194 0.411194 0.055867
4000 5 A3_local 500 0 1.081063 1.526949 0.445885 0.445885 0.062778
4000 6 A3_local 500 0 0.971735 1.379482 0.407748 0.407748 0.054847
4000 7 A3_local 500 0 1.023107 1.449171 0.426064 0.426064 0.053461
4000 8 A3_local 500 0 1.038243 1.467675 0.429432 0.429432 0.046080
4000 9 A3_local 500 0 0.918675 1.245438 0.326762 0.326762 0.037443
4000 10 A3_local 500 0 0.971434 1.306627 0.335193 0.335193 0.034490
4000 11 A3_local 500 0 1.051659 1.510951 0.459292 0.459292 0.053164
4000 12 A3_local 500 0 1.057590 1.476152 0.418562 0.418562 0.046341
4000 13 A3_local 500 0 1.014066 1.383933 0.369868 0.369868 0.036078
4000 14 A3_local 500 0 0.964291 1.353040 0.388749 0.388749 0.042941
4000 15 A3_local 500 0 1.027296 1.429167 0.401870 0.401870 0.044528
4000 16 A3_local 500 0 1.014828 1.378471 0.363643 0.363643 0.040227
